Epoch,Train Loss,Val Loss,Val Accuracy
1,0.6751643695831299,0.6563173606991768,0.89
2,0.6249197230339051,0.593694169074297,0.974
3,0.5436313457489014,0.5053621958941221,0.981
4,0.4444372847080231,0.41100929118692875,0.986
5,0.34875001096725466,0.32734317146241665,0.992
6,0.26911176586151125,0.2602039324119687,0.992
7,0.20769773972034455,0.2087067747488618,0.994
8,0.16172311663627625,0.16970006376504898,0.994
9,0.12751372754573823,0.1400670143775642,0.994
10,0.10193012028932572,0.11722841020673513,0.995
11,0.08256924137473107,0.09955875342711806,0.996
12,0.06773959568142891,0.08570473920553923,0.996
13,0.056240500509738924,0.07461022515781224,0.996
14,0.047187033176422116,0.06568567478097975,0.996
15,0.03998613718152046,0.05845140805467963,0.996
16,0.03417518918216229,0.052500320598483086,0.996
